year,energy use
1975,4.64652903858906
1976,4.56987141711148
1977,5.02520408131375
1978,5.50575392612609
1979,5.24608154657353
1980,5.4272868628859
1981,5.87790015897125
1982,6.49436984279888
1983,6.84776519504243
1984,7.12941354109965
1985,7.83031003085784
1986,8.41396566884746
1987,8.44470392301076
1988,9.00778605263972
1989,9.31670015003552
1990,9.45111635256245
1991,9.98758399326045
1992,9.75480402730826
1993,9.57785293414193
1994,9.75187746552207
1995,10.2440671762868
1996,10.1748033387095
1997,9.42468384685521
1998,9.79913364449837
1999,10.354743625153
2000,10.2970525907123
2001,10.2108646825098
2002,10.5133378836776
2003,10.3429244994095
2004,10.4077374705913
2005,10.3545530514855
2006,10.6284102374098
2007,10.5968903324343
2008,10.9475046355289
2009,11.5601149223974
2010,11.3372473990171
2011,11.5679100503225
2012,11.4475715077974
2013,11.6849567099973
2014,11.680856159034
2015,11.8743317712829
